Number,Country,Site,Latitude,Longitude,n,reduction,lithology,pH_0-5,pH_5-15,pH_15-30,cec_0-5,cec_5-15,cec_15-30,Elevation,SO2_1990,NOX_1990,PM10_1990,SOMO35_1990,O3_1990,MAXO3_1990
62,Switzerland,Switzerland,47.24067,8.56923,30,0,"marl, partly sandstone",5.3,5.4,5.4,356,332,272,646,6.55834,10.44111,25.13667,5976.21582,34.22435,53.83652
63,Switzerland,Switzerland,46.89649,8.9425,29,0,"limestone, partly marl",5.1,5.2,5.3,452,317,303,1707,0.80877,0.64809,6.41707,7494.52148,49.13303,57.70881
64,Switzerland,Switzerland,47.180832,9.176242,12,0,"limestone, partly marl",4.8,5,5,451,350,335,1380,1.7934,2.06241,11.32962,6441.50732,42.28057,54.51937
65,Switzerland,Switzerland,47.014324,8.739395,15,0,"marly shale, calcareous phyllite",5.1,5.1,5.2,435,303,283,1435,1.8188,1.6432,11.47005,7323.41992,45.23738,58.07843
66,Switzerland,Switzerland,47.069881,8.677936,15,0,"marly shale, calcareous phyllite",4.9,5,5,439,299,275,1275,3.06778,4.45882,15.55136,6752.13184,40.92811,56.05576
67,Switzerland,Switzerland,46.726701,8.902934,14,0,amphibolite,5.6,5.7,5.7,403,346,298,1435,0.84558,0.86719,6.86037,7268.11084,48.66366,56.96693
68,Switzerland,Switzerland,46.653633,8.985493,14,0,"blocks, shingle",5.1,5.2,5.3,374,297,267,1450,0.76136,0.57592,5.87826,7695.74023,50.38094,58.44424
69,Switzerland,Switzerland,46.571349,9.418137,15,0,"mica schist, gneiss",5.5,5.7,5.7,332,254,237,1300,0.88554,1.1531,6.54856,7131.13281,47.52579,56.99377
70,Switzerland,Switzerland,46.559829,9.35523,14,0,"clay, silt, sand",5.2,5.3,5.4,330,257,224,1480,1.45018,2.8142,7.22509,6940.38232,47.19238,57.04113
71,Switzerland,Switzerland,46.6572,9.593863,15,0,"blocks, shingle",5.6,5.8,5.9,336,299,320,1010,0.85059,1.52162,7.07436,6122.10254,42.4231,53.87884
72,Switzerland,Switzerland,46.641644,9.724754,15,0,"limestone, partly marl",5.2,5.4,5.5,266,225,220,1280,0.63408,0.64121,5.08995,6545.43555,45.82749,55.22815
73,Switzerland,Switzerland,46.555732,9.607258,72,0,"clay, silt, sand",5.1,5.3,5.4,309,280,260,1750,0.63648,0.75493,5.30037,6907.94482,46.92471,56.22567
74,Switzerland,Switzerland,46.664743,8.773974,26,0,"mica schist, gneiss",5.4,5.6,5.6,413,320,265,1640,0.80436,0.90287,6.65133,7237.09375,47.59264,57.07487
75,Switzerland,Switzerland,46.770948,9.877178,67,0,gneiss,4.9,5,5.1,323,277,258,1830,0.89385,0.80187,5.44814,6689.6665,46.86903,55.63339
76,Switzerland,Switzerland,46.817786,8.24053,62,0,"limestone, partly marl",5.6,5.7,5.8,402,285,218,2000,1.85676,2.47699,11.42161,6790.99121,43.00968,56.07138
77,Poland,Poland,49.5833,19.05,46,0,sandstone,5.3,5.5,5.5,312,241,208,1300,19.63039,2.71795,23.41909,4161.60303,36.15601,46.56952
78,Poland,Poland,49.2833,19.0833,50,0,conglomerate,5.2,5.3,5.3,380,276,227,1000,15.49663,2.21166,21.46235,4351.8623,36.51152,47.05438
79,Poland,Poland,49.25,20.0333,36,0,sand,4.9,5,5,371,229,207,1420,9.64875,1.12934,13.80927,5060.53955,42.36456,50.6866
80,Poland,Poland,49.2333,20.0833,39,0,granite,5,5.1,5.2,314,213,194,1300,9.64875,1.12934,13.80927,5060.53955,42.36456,50.6866
81,Poland,Poland,49.25,20.0333,58,0,sand,4.9,5,5,371,229,207,1480,9.64875,1.12934,13.80927,5060.53955,42.36456,50.6866
82,Poland,Poland,49.25,20.0667,24,0,granite,5,5.1,5.1,381,232,214,1350,9.64875,1.12934,13.80927,5060.53955,42.36456,50.6866
83,Poland,Poland,49.55,20.1333,62,0,sandstone,5,5,5,332,213,193,1100,13.07384,1.73299,18.94186,4098.77393,36.16425,46.70303
84,Poland,Poland,49.5167,19.0333,61,0,sandstone,5.2,5.4,5.4,332,262,213,1300,19.63039,2.71795,23.41909,4161.60303,36.15601,46.56952
85,Poland,Poland,49.2167,20.0833,62,0,sand,5.1,5.2,5.2,329,223,199,1330,9.64875,1.12934,13.80927,5060.53955,42.36456,50.6866
86,Poland,Poland,49.2333,20.0833,81,0,granite,5,5.1,5.2,314,213,194,1210,9.64875,1.12934,13.80927,5060.53955,42.36456,50.6866
87,Poland,Poland,49.2333,20.0833,128,0,granite,5,5.1,5.2,314,213,194,1310,9.64875,1.12934,13.80927,5060.53955,42.36456,50.6866
88,Poland,Poland,49.2333,20.0833,47,0,granite,5,5.1,5.2,314,213,194,1370,9.64875,1.12934,13.80927,5060.53955,42.36456,50.6866
89,Poland,Poland,49.25,20.0167,82,0,sand,4.9,5,5,355,224,208,1500,9.64875,1.12934,13.80927,5060.53955,42.36456,50.6866
